machine_id,line_id,machine_type,install_date
1,10,CNC,2025-09-18
2,7,Ensamblaje,2021-02-20
3,2,Ensamblaje,2018-04-27
4,8,Empaque,2018-03-10
5,3,Corte,2020-01-05
6,5,CNC,2019-01-26
7,10,Ensamblaje,2022-02-28
8,4,Corte,2020-12-19
9,10,CNC,2017-11-15
10,8,Ensamblaje,2022-03-09
11,7,Empaque,2020-03-07
12,6,Corte,2020-12-16
13,10,Ensamblaje,2018-05-29
14,8,CNC,2021-03-13
15,4,CNC,2025-10-20
16,10,Empaque,2018-12-01
17,6,Empaque,2022-09-14
18,10,Corte,2021-05-29
19,10,Empaque,2017-11-06
20,8,CNC,2022-11-29
21,8,Ensamblaje,2022-11-30
22,9,Corte,2021-04-09
23,3,CNC,2022-10-16
24,3,CNC,2024-08-02
25,7,Corte,2017-11-16
26,9,CNC,2020-10-11
27,6,Empaque,2022-06-13
28,3,Empaque,2025-10-08
29,4,Empaque,2023-05-08
30,3,Corte,2018-09-20
31,7,Empaque,2018-02-27
32,10,Empaque,2018-07-30
33,9,Empaque,2018-10-20
34,1,Ensamblaje,2019-08-24
35,7,Ensamblaje,2023-09-03
36,4,Ensamblaje,2019-12-20
37,4,Ensamblaje,2019-07-12
38,10,Corte,2019-01-09
39,6,Ensamblaje,2022-05-08
40,9,CNC,2020-02-26
41,9,Empaque,2024-01-04
42,3,Empaque,2025-01-10
43,8,CNC,2022-02-18
44,8,CNC,2023-09-05
45,5,Ensamblaje,2022-02-12
46,2,CNC,2023-12-29
47,1,Empaque,2022-10-03
48,7,Empaque,2020-06-25
49,7,Ensamblaje,2023-04-08
50,8,Empaque,2024-07-04
