event_id,machine_id,start_time,end_time,type,reason_code,order_id
1,7,2026-04-16 08:12:00,2026-04-16 10:40:00,planned,MEC-02,
2,23,2026-05-26 11:26:00,2026-05-26 11:53:00,planned,MAT-01,4288.0
3,11,2026-03-28 15:23:00,2026-03-28 17:56:00,unplanned,MEC-02,5964.0
4,25,2026-02-08 12:47:00,2026-02-08 14:27:00,planned,MAT-01,4841.0
5,11,2026-04-23 12:56:00,2026-04-23 15:41:00,unplanned,ELEC-01,5509.0
6,17,2026-06-05 00:20:00,2026-06-05 02:55:00,unplanned,MEC-02,2228.0
7,12,2026-06-22 19:59:00,2026-06-22 21:29:00,planned,MEC-02,737.0
8,40,2026-03-31 06:39:00,2026-03-31 07:44:00,unplanned,MEC-01,1806.0
9,39,2026-06-10 11:26:00,2026-06-10 13:29:00,unplanned,CAL-01,
10,12,2026-06-04 10:54:00,2026-06-04 11:46:00,planned,ELEC-01,
11,15,2026-01-01 03:14:00,2026-01-01 04:03:00,unplanned,ELEC-01,7866.0
12,22,2026-06-28 17:50:00,2026-06-28 17:57:00,planned,CAL-01,6595.0
13,49,2026-05-25 22:22:00,2026-05-25 22:34:00,planned,MAT-01,1403.0
14,41,2026-02-26 06:16:00,2026-02-26 07:42:00,unplanned,ELEC-01,7959.0
15,5,2026-03-05 14:05:00,2026-03-05 16:52:00,planned,ELEC-01,4800.0
16,13,2026-03-08 18:26:00,2026-03-08 20:16:00,unplanned,MEC-01,
17,39,2026-05-25 03:51:00,2026-05-25 04:08:00,planned,MEC-01,3008.0
18,46,2026-01-04 03:24:00,2026-01-04 05:44:00,planned,MEC-01,2063.0
19,49,2026-05-15 19:26:00,2026-05-15 22:02:00,planned,MEC-02,9493.0
20,16,2026-01-24 09:21:00,2026-01-24 10:25:00,planned,ELEC-01,5836.0
21,12,2026-02-05 18:11:00,2026-02-05 20:26:00,unplanned,MEC-01,6668.0
22,14,2026-06-23 03:49:00,2026-06-23 03:59:00,unplanned,ELEC-01,5918.0
23,29,2026-06-10 21:02:00,2026-06-10 22:58:00,unplanned,MEC-01,4649.0
24,2,2026-04-04 11:31:00,2026-04-04 11:45:00,unplanned,MEC-02,
25,3,2026-05-15 12:05:00,2026-05-15 14:09:00,planned,CAL-01,
26,4,2026-05-21 16:55:00,2026-05-21 19:45:00,unplanned,ELEC-01,3029.0
27,11,2026-02-27 09:38:00,2026-02-27 10:50:00,unplanned,ELEC-01,8371.0
28,50,2026-03-22 04:48:00,2026-03-22 05:38:00,unplanned,MAT-01,2757.0
29,36,2026-02-24 21:35:00,2026-02-24 23:01:00,unplanned,CAL-01,6993.0
30,50,2026-02-10 00:32:00,2026-02-10 02:46:00,unplanned,MEC-02,1985.0
31,12,2026-05-28 23:50:00,2026-05-29 02:00:00,unplanned,CAL-01,
32,10,2026-03-21 04:17:00,2026-03-21 05:08:00,unplanned,MEC-02,
33,14,2026-01-26 16:57:00,2026-01-26 19:51:00,planned,MAT-01,3163.0
34,11,2026-06-13 02:51:00,2026-06-13 03:10:00,planned,ELEC-01,
35,34,2026-04-22 20:05:00,2026-04-22 20:14:00,unplanned,MAT-01,1170.0
36,40,2026-06-11 08:39:00,2026-06-11 10:43:00,planned,CAL-01,3129.0
37,33,2026-05-20 21:45:00,2026-05-21 00:08:00,unplanned,MAT-01,281.0
38,27,2026-02-17 19:32:00,2026-02-17 22:27:00,planned,ELEC-01,
39,33,2026-01-20 09:31:00,2026-01-20 11:48:00,planned,ELEC-01,
40,29,2026-01-04 07:20:00,2026-01-04 07:54:00,planned,MAT-01,
41,47,2026-01-29 03:54:00,2026-01-29 05:01:00,unplanned,CAL-01,4133.0
42,37,2026-03-06 05:22:00,2026-03-06 06:40:00,planned,MEC-02,2717.0
43,4,2026-05-25 09:31:00,2026-05-25 11:50:00,unplanned,MEC-01,6027.0
44,1,2026-03-21 21:42:00,2026-03-21 23:11:00,planned,MEC-02,
45,36,2026-03-05 19:29:00,2026-03-05 21:49:00,planned,MEC-02,1960.0
46,4,2026-03-21 21:17:00,2026-03-21 22:11:00,unplanned,CAL-01,2950.0
47,50,2026-01-02 04:29:00,2026-01-02 06:37:00,planned,MEC-02,7113.0
48,35,2026-06-16 08:55:00,2026-06-16 10:23:00,unplanned,ELEC-01,9386.0
49,1,2026-02-07 20:52:00,2026-02-07 21:41:00,planned,CAL-01,9914.0
50,44,2026-01-22 03:15:00,2026-01-22 04:19:00,unplanned,MAT-01,
51,48,2026-01-17 11:41:00,2026-01-17 12:24:00,planned,MEC-02,8606.0
52,28,2026-04-18 21:44:00,2026-04-18 22:34:00,planned,CAL-01,7454.0
53,35,2026-02-12 02:13:00,2026-02-12 04:18:00,planned,ELEC-01,7139.0
54,15,2026-05-18 05:11:00,2026-05-18 05:20:00,unplanned,ELEC-01,4478.0
55,8,2026-03-31 20:44:00,2026-03-31 23:30:00,unplanned,ELEC-01,8719.0
56,11,2026-01-12 09:04:00,2026-01-12 10:14:00,unplanned,MAT-01,7372.0
57,6,2026-06-09 04:00:00,2026-06-09 05:32:00,planned,MEC-01,
58,29,2026-05-16 14:25:00,2026-05-16 17:02:00,planned,ELEC-01,
59,44,2026-02-08 09:59:00,2026-02-08 12:28:00,unplanned,ELEC-01,2909.0
60,20,2026-06-12 08:09:00,2026-06-12 09:24:00,planned,MEC-01,6954.0
