order_id,machine_id,shift_id,supervisor,units_produced,units_defective,unidades_optimas
1,36,3,Supervisor_3,445,15,430
2,22,2,Supervisor_2,287,19,268
3,33,1,Supervisor_1,315,21,294
4,2,2,Supervisor_2,99,2,97
5,48,1,Supervisor_1,102,5,97
6,8,2,Supervisor_2,235,15,220
7,19,3,Supervisor_3,354,6,348
8,50,3,Supervisor_3,83,5,78
9,11,2,Supervisor_2,452,27,425
10,47,3,Supervisor_3,152,4,148
11,20,3,Supervisor_3,320,11,309
12,31,3,Supervisor_3,263,2,261
13,9,3,Supervisor_3,325,1,324
14,18,3,Supervisor_3,320,24,296
15,2,3,Supervisor_3,352,22,330
16,7,3,Supervisor_3,324,17,307
17,35,1,Supervisor_1,366,6,360
18,47,3,Supervisor_3,190,7,183
19,37,1,Supervisor_1,162,4,158
20,37,1,Supervisor_1,277,16,261
21,44,2,Supervisor_2,263,18,245
22,35,3,Supervisor_3,328,21,307
23,17,2,Supervisor_2,274,6,268
24,18,2,Supervisor_2,339,11,328
25,10,2,Supervisor_2,205,3,202
26,42,3,Supervisor_3,335,19,316
27,18,1,Supervisor_1,311,24,287
28,33,2,Supervisor_2,163,4,159
29,12,3,Supervisor_3,130,9,121
30,38,3,Supervisor_3,306,5,301
31,21,2,Supervisor_2,217,6,211
32,44,2,Supervisor_2,203,2,201
33,32,1,Supervisor_1,471,0,471
34,14,3,Supervisor_3,328,1,327
35,30,2,Supervisor_2,412,11,401
36,23,3,Supervisor_3,124,9,115
37,37,3,Supervisor_3,288,20,268
38,10,2,Supervisor_2,402,5,397
39,24,1,Supervisor_1,73,0,73
40,29,3,Supervisor_3,159,7,152
41,25,1,Supervisor_1,248,3,245
42,9,3,Supervisor_3,336,7,329
43,31,2,Supervisor_2,424,20,404
44,14,2,Supervisor_2,240,15,225
45,4,3,Supervisor_3,438,18,420
46,38,2,Supervisor_2,113,5,108
47,1,1,Supervisor_1,392,9,383
48,36,2,Supervisor_2,172,3,169
49,35,3,Supervisor_3,470,27,443
50,17,1,Supervisor_1,325,9,316
51,37,1,Supervisor_1,466,21,445
52,2,2,Supervisor_2,310,12,298
53,47,2,Supervisor_2,96,0,96
54,38,3,Supervisor_3,427,29,398
55,8,1,Supervisor_1,435,23,412
56,25,3,Supervisor_3,329,1,328
57,9,2,Supervisor_2,51,2,49
58,8,3,Supervisor_3,460,23,437
59,38,2,Supervisor_2,413,23,390
60,15,3,Supervisor_3,67,0,67
61,8,3,Supervisor_3,71,3,68
62,48,3,Supervisor_3,294,15,279
63,50,3,Supervisor_3,399,29,370
64,32,3,Supervisor_3,259,15,244
65,18,1,Supervisor_1,365,9,356
66,25,2,Supervisor_2,121,0,121
67,18,3,Supervisor_3,92,6,86
68,11,2,Supervisor_2,348,15,333
69,17,1,Supervisor_1,303,13,290
70,23,2,Supervisor_2,96,4,92
71,4,3,Supervisor_3,88,1,87
72,43,2,Supervisor_2,306,0,306
73,4,3,Supervisor_3,216,2,214
74,31,1,Supervisor_1,338,1,337
75,20,3,Supervisor_3,142,0,142
76,44,3,Supervisor_3,332,19,313
77,26,1,Supervisor_1,190,10,180
78,15,1,Supervisor_1,187,4,183
79,48,1,Supervisor_1,190,15,175
80,49,3,Supervisor_3,431,23,408
81,8,2,Supervisor_2,75,5,70
82,31,3,Supervisor_3,267,1,266
83,8,1,Supervisor_1,315,21,294
84,6,3,Supervisor_3,142,7,135
85,28,3,Supervisor_3,89,0,89
86,31,3,Supervisor_3,397,10,387
87,14,2,Supervisor_2,496,7,489
88,12,1,Supervisor_1,312,18,294
89,38,2,Supervisor_2,499,29,470
90,29,2,Supervisor_2,400,5,395
91,19,1,Supervisor_1,474,37,437
92,31,2,Supervisor_2,363,0,363
93,10,2,Supervisor_2,239,6,233
